production_rank,production_status,production_rule_tier,production_rule_diagnostic,rule_type,metric,direction,threshold,rule,validation_windows,validation_positive_windows,validation_negative_windows,validation_positive_window_rate_pct,source_split_ids,first_validation_start_day,last_validation_end_day,validation_rows_total,validation_graded_bets,validation_wins,validation_losses,validation_pushes,validation_voids,validation_stake_units,validation_profit_units,validation_roi_pct,validation_hit_rate_decided_pct,current_rows_total,current_match_rate_pct,current_actionable_rows,current_actionable_coverage_pct,current_non_actionable_rows,current_graded_bets,current_wins,current_losses,current_pushes,current_voids,current_stake_units,current_profit_units,current_roi_pct,current_hit_rate_decided_pct,promotion_reason
11,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.8311,primary_model_prob >= 0.8311,5,5,0,100.0,"10,12,13,14,15",2026-05-03,2026-05-08,39,32,29,3,0,0,32.0,6.6,20.625,90.625,217,33.6957,56,22.49,161,56,46,10,0,0,56.0,6.9,12.3214,82.1429,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
12,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.8312,primary_model_prob >= 0.8312,5,5,0,100.0,"10,12,13,14,15",2026-05-03,2026-05-08,39,32,29,3,0,0,32.0,6.6,20.625,90.625,216,33.5404,55,22.0884,161,55,45,10,0,0,55.0,6.62,12.0364,81.8182,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
13,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,selection_score,>=,74.84,selection_score >= 74.84,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,72,64,42,22,0,0,64.0,6.58,10.2812,65.625,520,80.7453,201,80.7229,319,201,127,74,0,0,201.0,8.01,3.9851,63.1841,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
14,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,vsigma_pre_score,>=,69.64,vsigma_pre_score >= 69.64,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,72,64,42,22,0,0,64.0,6.58,10.2812,65.625,519,80.5901,201,80.7229,318,201,127,74,0,0,201.0,8.01,3.9851,63.1841,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
15,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,vsigma_pre_score,>=,69.73,vsigma_pre_score >= 69.73,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,72,64,42,22,0,0,64.0,6.58,10.2812,65.625,516,80.1242,199,79.9197,317,199,127,72,0,0,199.0,10.01,5.0302,63.8191,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
16,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,odds_num,<=,2.44,odds_num <= 2.44,4,3,1,75.0,"12,13,14,15",2026-05-05,2026-05-08,70,63,47,16,0,0,63.0,6.46,10.254,74.6032,266,41.3043,222,89.1566,44,222,151,71,0,0,222.0,9.79,4.4099,68.018,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
17,PROMOTED_PRODUCTION_READY,STANDARD_EVIDENCE,Rule has positive promoted-rule evidence but does not meet premium evidence requirements.,NUMERIC_THRESHOLD,odds_num,<=,1.63,odds_num <= 1.63,6,4,2,66.6667,"10,11,12,13,14,15",2026-05-03,2026-05-08,111,97,74,23,0,0,97.0,6.05,6.2371,76.2887,185,28.7267,151,60.6426,34,151,112,39,0,0,151.0,6.78,4.4901,74.1722,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
18,PROMOTED_PRODUCTION_READY,STANDARD_EVIDENCE,Rule has positive promoted-rule evidence but does not meet premium evidence requirements.,NUMERIC_THRESHOLD,odds_num,<=,1.57,odds_num <= 1.57,6,3,3,50.0,"10,11,12,13,14,15",2026-05-03,2026-05-08,101,89,69,20,0,0,89.0,6.0,6.7416,77.5281,164,25.4658,132,53.012,32,132,101,31,0,0,132.0,8.12,6.1515,76.5152,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
19,PROMOTED_PRODUCTION_READY,STANDARD_EVIDENCE,Rule has positive promoted-rule evidence but does not meet premium evidence requirements.,NUMERIC_THRESHOLD,odds_num,<=,1.58,odds_num <= 1.58,6,3,3,50.0,"10,11,12,13,14,15",2026-05-03,2026-05-08,101,89,69,20,0,0,89.0,6.0,6.7416,77.5281,166,25.7764,134,53.8153,32,134,103,31,0,0,134.0,9.28,6.9254,76.8657,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
20,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,vsigma_pre_score,>=,70.52,vsigma_pre_score >= 70.52,5,3,2,60.0,"11,12,13,14,15",2026-05-04,2026-05-08,67,60,40,20,0,0,60.0,5.83,9.7167,66.6667,492,76.3975,191,76.7068,301,191,122,69,0,0,191.0,8.91,4.6649,63.8743,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
21,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,selection_score,>=,72.46,selection_score >= 72.46,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,37,33,24,9,0,0,33.0,5.8,17.5758,72.7273,576,89.441,218,87.5502,358,218,137,81,0,0,218.0,5.98,2.7431,62.844,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
22,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.7961,primary_model_prob >= 0.7961,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,36,30,25,5,0,0,30.0,5.74,19.1333,83.3333,330,51.2422,89,35.743,241,89,68,21,0,0,89.0,7.16,8.0449,76.4045,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
23,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.7963,primary_model_prob >= 0.7963,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,36,30,25,5,0,0,30.0,5.74,19.1333,83.3333,329,51.087,89,35.743,240,89,68,21,0,0,89.0,7.16,8.0449,76.4045,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
24,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,odds_num,<=,2.23,odds_num <= 2.23,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,37,33,25,8,0,0,33.0,5.66,17.1515,75.7576,260,40.3727,216,86.747,44,216,147,69,0,0,216.0,6.26,2.8981,68.0556,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
25,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,odds_num,<=,2.33,odds_num <= 2.33,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,37,33,25,8,0,0,33.0,5.66,17.1515,75.7576,262,40.6832,218,87.5502,44,218,148,70,0,0,218.0,6.54,3.0,67.8899,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
