target_date,generated_at,metric,rows_evaluated,hit_rate,avg_abs_error_mid,bias_direction,calibration_status,severity,recommended_adjustment,model_area,auto_apply_allowed,operator_note,source_guard,auto_apply,production_change
2026-05-25,2026-05-25T21:59:02+01:00,total_goals,4,0.000,1.11,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Reduce goal projection pressure: lower goal_nudge and/or reduce projected-goals weight by 5-10% for similar profiles.,build_match_stat_forecasts.goal_model,NO,Model is overestimating total goals.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_goals,6,0.167,1.34,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Reduce goal projection pressure: lower goal_nudge and/or reduce projected-goals weight by 5-10% for similar profiles.,build_match_stat_forecasts.goal_model,NO,Model is overestimating total goals.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_goals,9,0.556,0.86,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,MEDIUM,Reduce goal projection pressure: lower goal_nudge and/or reduce projected-goals weight by 5-10% for similar profiles.,build_match_stat_forecasts.goal_model,NO,Model is overestimating total goals.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_goals,7,0.429,1.22,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,MEDIUM,Reduce goal projection pressure: lower goal_nudge and/or reduce projected-goals weight by 5-10% for similar profiles.,build_match_stat_forecasts.goal_model,NO,Model is overestimating total goals.,DATED_INPUT_ONLY,NO,NO
2026-06-10,2026-06-10T18:46:40+01:00,total_goals,1,1.000,0.35,BALANCED_OR_ON_RANGE,LOW_SAMPLE_HOLD,LOW_SAMPLE,Hold. Need at least 3 evaluated rows before tuning.,sample_control,NO,No change; sample too small.,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:59:02+01:00,total_shots,3,1.000,2.67,BALANCED_OR_ON_RANGE,CALIBRATION_OK,LOW,Keep current calibration.,total_shots,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_shots,6,0.500,7.33,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_shots,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_shots,9,0.778,4.56,OVER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_shots,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_shots,6,0.833,4.83,UNDER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_shots,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:59:02+01:00,total_sot,3,1.000,1.00,BALANCED_OR_ON_RANGE,CALIBRATION_OK,LOW,Keep current calibration.,total_sot,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_sot,6,0.333,3.50,UNDER_ESTIMATE,MODEL_UNDER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_sot,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_sot,8,1.000,1.50,BALANCED_OR_ON_RANGE,CALIBRATION_OK,LOW,Keep current calibration.,total_sot,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_sot,6,0.500,2.67,UNDER_ESTIMATE,MODEL_UNDER_ESTIMATING,MEDIUM,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_sot,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
