target_date,generated_at,fixture_id,home_team,away_team,api_readiness_gate,coverage_score,original_final_decision,final_decision,original_execution_permission,execution_permission,gate_action,gate_reason,missing_blocks,auto_apply,production_change
2026-05-31,2026-05-31T15:41:32+01:00,1494186,Degerfors IF,IF Brommapojkarna,EARLY_CANDIDATE_PRELOCK_REQUIRED,95.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,PRELOCK_REQUIRED,EARLY_PRELOCK_REQUIRED,Lineups are not due yet; early candidate may be planned but not locked.,lineup_coverage=NOT_DUE_YET,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1396990,Burgos,FC Andorra,LOW_COVERAGE_NO_BET,70.0,NO_BET_OR_WATCH,NO_BET,NO_BET_OR_WATCH,NO,DOWNGRADED_TO_NO_BET,API coverage is too weak for reliable execution.,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1546340,Gent,Genk,EARLY_WATCH_MORE_DATA_REQUIRED,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492286,Palmeiras,Chapecoense-sc,EARLY_WATCH_MORE_DATA_REQUIRED,88.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=PROBABLE_LOW,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392224,Deportivo La Coruna,Las Palmas,EARLY_WATCH_MORE_DATA_REQUIRED,73.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=PROBABLE_LOW; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520703,Ceara,Operario-PR,LOW_COVERAGE_NO_BET,20.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520706,Londrina,Vila Nova,LOW_COVERAGE_NO_BET,20.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520708,São Bernardo,Novorizontino,LOW_COVERAGE_NO_BET,20.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1495696,AC Oulu,FF Jaro,LOW_COVERAGE_NO_BET,20.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1522821,Kauno Žalgiris,FK Zalgiris Vilnius,LOW_COVERAGE_NO_BET,15.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526835,Anápolis,Maranhão,LOW_COVERAGE_NO_BET,15.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526840,Guarani Campinas,Amazonas,LOW_COVERAGE_NO_BET,15.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526841,Inter De Limeira,Ypiranga-RS,LOW_COVERAGE_NO_BET,15.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526843,Santa Cruz,Ferroviária,LOW_COVERAGE_NO_BET,15.0,NO_BET,NO_BET,NO_BET,NO,NO_BET_CONFIRMED,API coverage is too weak for reliable execution.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
